year,treatment,species,abs_cover
1991,c,p_virgatum_cov,38.125
1991,i,p_virgatum_cov,20.625
1992,c,p_virgatum_cov,22.5
1992,i,p_virgatum_cov,37.5
1993,c,p_virgatum_cov,10.6875
1993,i,p_virgatum_cov,12.44444444
1994,c,p_virgatum_cov,13.5
1994,i,p_virgatum_cov,11.16666667
1995,c,p_virgatum_cov,17.8125
1995,i,p_virgatum_cov,13.66666667
1996,c,p_virgatum_cov,16.375
1996,i,p_virgatum_cov,22
1997,c,p_virgatum_cov,19.1875
1997,i,p_virgatum_cov,22
1998,c,p_virgatum_cov,19.1875
1998,i,p_virgatum_cov,24.8125
1999,c,p_virgatum_cov,18.70833333
1999,i,p_virgatum_cov,33.875
2000,c,p_virgatum_cov,20.625
2000,i,p_virgatum_cov,44.375
2001,c,p_virgatum_cov,25.125
2001,i,p_virgatum_cov,61.875
2002,c,p_virgatum_cov,25.125
2002,i,p_virgatum_cov,61.875
2003,c,p_virgatum_cov,25.125
2003,i,p_virgatum_cov,65
2004,c,p_virgatum_cov,27.9375
2004,i,p_virgatum_cov,67.8125
2005,c,p_virgatum_cov,43.75
2005,i,p_virgatum_cov,65.61111111
2006,c,p_virgatum_cov,43.75
2006,i,p_virgatum_cov,68.11111111
2007,c,p_virgatum_cov,49.6875
2007,i,p_virgatum_cov,68.44444444
2008,c,p_virgatum_cov,49.6875
2008,i,p_virgatum_cov,65.66666667
2009,c,p_virgatum_cov,46.875
2009,i,p_virgatum_cov,68.44444444
2010,c,p_virgatum_cov,50
2010,i,p_virgatum_cov,68.44444444
2011,c,p_virgatum_cov,52.8125
2011,i,p_virgatum_cov,70.94444444
2012,c,p_virgatum_cov,50
2012,i,p_virgatum_cov,70.94444444
1991,c,a_gerardii_cov,44.375
1991,i,a_gerardii_cov,50
1992,c,a_gerardii_cov,69.16666667
1992,i,a_gerardii_cov,85
1993,c,a_gerardii_cov,40.55555556
1993,i,a_gerardii_cov,45.83333333
1994,c,a_gerardii_cov,51.66666667
1994,i,a_gerardii_cov,56.94444444
1995,c,a_gerardii_cov,64.72222222
1995,i,a_gerardii_cov,62.22222222
1996,c,a_gerardii_cov,59.44444444
1996,i,a_gerardii_cov,54.16666667
1997,c,a_gerardii_cov,59.44444444
1997,i,a_gerardii_cov,54.16666667
1998,c,a_gerardii_cov,59.44444444
1998,i,a_gerardii_cov,54.16666667
1999,c,a_gerardii_cov,56.60714286
1999,i,a_gerardii_cov,51.38888889
2000,c,a_gerardii_cov,61.875
2000,i,a_gerardii_cov,53.88888889
2001,c,a_gerardii_cov,64.44444444
2001,i,a_gerardii_cov,48.61111111
2002,c,a_gerardii_cov,66.94444444
2002,i,a_gerardii_cov,56.66666667
2003,c,a_gerardii_cov,69.44444444
2003,i,a_gerardii_cov,56.66666667
2004,c,a_gerardii_cov,69.44444444
2004,i,a_gerardii_cov,59.44444444
2005,c,a_gerardii_cov,63.33333333
2005,i,a_gerardii_cov,59.44444444
2006,c,a_gerardii_cov,61.94444444
2006,i,a_gerardii_cov,51.11111111
2007,c,a_gerardii_cov,61.94444444
2007,i,a_gerardii_cov,48.33333333
2008,c,a_gerardii_cov,61.94444444
2008,i,a_gerardii_cov,59.16666667
2009,c,a_gerardii_cov,64.72222222
2009,i,a_gerardii_cov,59.16666667
2010,c,a_gerardii_cov,64.72222222
2010,i,a_gerardii_cov,61.66666667
2011,c,a_gerardii_cov,64.72222222
2011,i,a_gerardii_cov,59.16666667
2012,c,a_gerardii_cov,56.94444444
2012,i,a_gerardii_cov,53.88888889
1991,c,tot_cov,142
1991,i,tot_cov,143.125
1992,c,tot_cov,179.6666667
1992,i,tot_cov,197.3333333
1993,c,tot_cov,119.5
1993,i,tot_cov,133.9444444
1994,c,tot_cov,118.7777778
1994,i,tot_cov,132.2777778
1995,c,tot_cov,137.8333333
1995,i,tot_cov,136.8333333
1996,c,tot_cov,115.2777778
1996,i,tot_cov,123.2222222
1997,c,tot_cov,122.2222222
1997,i,tot_cov,126.3888889
1998,c,tot_cov,121.3888889
1998,i,tot_cov,124.8888889
1999,c,tot_cov,191.0555556
1999,i,tot_cov,125.7777778
2000,c,tot_cov,126.375
2000,i,tot_cov,148.3333333
2001,c,tot_cov,153
2001,i,tot_cov,175.7777778
2002,c,tot_cov,164.9444444
2002,i,tot_cov,195.1111111
2003,c,tot_cov,167.1666667
2003,i,tot_cov,202.6666667
2004,c,tot_cov,175.5555556
2004,i,tot_cov,213.3333333
2005,c,tot_cov,187.0555556
2005,i,tot_cov,204.2777778
2006,c,tot_cov,159.1111111
2006,i,tot_cov,186.1666667
2007,c,tot_cov,193.3333333
2007,i,tot_cov,178.9444444
2008,c,tot_cov,194.1666667
2008,i,tot_cov,184.8888889
2009,c,tot_cov,180.3888889
2009,i,tot_cov,185.0555556
2010,c,tot_cov,182.8333333
2010,i,tot_cov,194.8333333
2011,c,tot_cov,187.8888889
2011,i,tot_cov,186.6111111
2012,c,tot_cov,159
2012,i,tot_cov,188.8333333
