year,treatment,anpp_gm2,grass_npp_gm2,forb_npp_gm2
1991,control,328.7938,290.3,38.49375
1992,control,420.875,385.9583,34.91667
1993,control,546.7704,363.7519,8.474074
1994,control,485.5056,379.6111,3.209259
1995,control,525.7019,322.8593,11.61667
1996,control,490.1111,294.5296,5.52037
1997,control,372.5926,221.45,8.6
1998,control,484.3074,233.1019,7.242593
1999,control,532.1463,351.05,14.82778
2000,control,415.6722,111.7019,12.40926
2001,control,493.7815,267.3185,27.14074
2002,control,435.0315,208.2389,13.48333
2003,control,395.6,270.6852,22.68519
2004,control,645.6759,456.2444,56.22222
2005,control,431.587,301.1667,37.12037
2006,control,466.1333,434.0926,32.04074
2007,control,534.1481,492.8093,41.33889
2008,control,742.5241,635.1185,107.4056
2009,control,587.0111,554.1981,32.81296
2010,control,599.1481,539.1074,60.04074
2011,control,509.3222,475.8796,33.44259
2012,control,349.7,331.6,18.1
1991,irrigated,533.6938,488.8375,44.85625
1992,irrigated,471.2917,432.5417,38.75
1993,irrigated,609.4944,409.5741,24.22037
1994,irrigated,622.2463,469.5759,7.212963
1995,irrigated,637.663,402.5685,15.83889
1996,irrigated,572.8037,329.8241,8.564815
1997,irrigated,640.8537,365.5352,22.84444
1998,irrigated,668.9167,353.4556,17.24444
1999,irrigated,827.1444,569.8389,24.06481
2000,irrigated,977.2685,614.7444,41.98704
2001,irrigated,958.2704,585.5833,54.02963
2002,irrigated,776.537,463.3556,13.45926
2003,irrigated,619.9556,457.2537,15.8537
2004,irrigated,878.1667,653.8222,44.93519
2005,irrigated,971.1019,713.3667,41.41852
2006,irrigated,794.8667,743.1741,51.69259
2007,irrigated,738.7056,702.1148,36.59074
2008,irrigated,815.3093,770.6222,44.68704
2009,irrigated,891.4074,839.0019,52.40556
2010,irrigated,809.8,733.8556,75.94444
2011,irrigated,1103.13,1076.891,26.23889
2012,irrigated,958.07,860.06,98.01
