year,month,day,transect,soil_moist_volumetric
2007,5,1,control,0.271631
2007,5,1,irrigated,0.283522
2007,5,2,control,0.262758
2007,5,2,irrigated,0.278708
2007,5,3,control,0.261414
2007,5,3,irrigated,0.278136
2007,5,4,control,0.265408
2007,5,4,irrigated,0.286641
2007,5,5,control,0.261794
2007,5,5,irrigated,0.273514
2007,5,6,control,0.293864
2007,5,6,irrigated,0.333094
2007,5,7,control,0.303045
2007,5,7,irrigated,0.338142
2007,5,8,control,0.302681
2007,5,8,irrigated,0.316834
2007,5,9,control,0.302682
2007,5,9,irrigated,0.302472
2007,5,10,control,0.304644
2007,5,10,irrigated,0.296316
2007,5,11,control,0.303873
2007,5,11,irrigated,0.284366
2007,5,12,control,0.29982
2007,5,12,irrigated,0.267836
2007,5,13,control,0.294556
2007,5,13,irrigated,0.253287
2007,5,14,control,0.287836
2007,5,14,irrigated,0.23781
2007,5,15,control,0.295034
2007,5,15,irrigated,0.258299
2007,5,16,control,0.279121
2007,5,16,irrigated,0.246066
2007,5,17,control,0.275817
2007,5,17,irrigated,0.234358
2007,5,18,control,0.264841
2007,5,18,irrigated,0.219499
2007,5,19,control,0.256753
2007,5,19,irrigated,0.207798
2007,5,20,control,0.252122
2007,5,20,irrigated,0.197993
2007,5,21,control,0.245291
2007,5,21,irrigated,0.185588
2007,5,22,control,0.237891
2007,5,22,irrigated,0.172444
2007,5,23,control,0.248173
2007,5,23,irrigated,0.187413
2007,5,24,control,0.297027
2007,5,24,irrigated,0.317412
2007,5,25,control,0.275117
2007,5,25,irrigated,0.273389
2007,5,26,control,0.279695
2007,5,26,irrigated,0.271819
2007,5,27,control,0.288647
2007,5,27,irrigated,0.286159
2007,5,28,control,0.283166
2007,5,28,irrigated,0.273725
2007,5,29,control,0.277427
2007,5,29,irrigated,0.262346
2007,5,30,control,0.271774
2007,5,30,irrigated,0.249056
2007,5,31,control,0.260164
2007,5,31,irrigated,0.232158
2007,6,1,control,0.295714
2007,6,1,irrigated,0.30709
2007,6,2,control,0.29375
2007,6,2,irrigated,0.291126
2007,6,3,control,0.28662
2007,6,3,irrigated,0.272553
2007,6,4,control,0.27856
2007,6,4,irrigated,0.25324
2007,6,5,control,0.268382
2007,6,5,irrigated,0.232451
2007,6,6,control,0.25546
2007,6,6,irrigated,0.213644
2007,6,7,control,0.24612
2007,6,7,irrigated,0.195751
2007,6,8,control,0.231518
2007,6,8,irrigated,0.176028
2007,6,9,control,0.223319
2007,6,9,irrigated,0.162918
2007,6,10,control,0.2233
2007,6,10,irrigated,0.160493
2007,6,12,control,0.237743
2007,6,12,irrigated,0.185113
2007,6,15,control,0.249843
2007,6,15,irrigated,0.219603
2007,6,16,control,0.234076
2007,6,16,irrigated,0.19807
2007,6,17,control,0.218036
2007,6,17,irrigated,0.179943
2007,6,19,control,0.260571
2007,6,19,irrigated,0.26705
2007,6,20,control,0.24325
2007,6,20,irrigated,0.244852
2007,6,21,control,0.225961
2007,6,21,irrigated,0.226291
2007,6,22,control,0.208242
2007,6,22,irrigated,0.205964
2007,6,23,control,0.236744
2007,6,23,irrigated,0.322311
2007,6,24,control,0.220693
2007,6,24,irrigated,0.280121
2007,6,25,control,0.202152
2007,6,25,irrigated,0.257102
2007,6,26,control,0.186724
2007,6,26,irrigated,0.23649
2007,6,28,control,0.180894
2007,6,28,irrigated,0.226972
2007,7,1,control,0.164323
2007,7,1,irrigated,0.202317
2007,7,2,control,0.159686
2007,7,2,irrigated,0.195975
2007,7,3,control,0.154652
2007,7,3,irrigated,0.31642
2007,7,5,control,0.144987
2007,7,5,irrigated,0.27345
2007,7,6,control,0.135446
2007,7,6,irrigated,0.251314
2007,7,7,control,0.126573
2007,7,7,irrigated,0.227229
2007,7,8,control,0.11924
2007,7,8,irrigated,0.204272
2007,7,9,control,0.114326
2007,7,9,irrigated,0.189509
2007,7,10,control,0.111245
2007,7,10,irrigated,0.178823
2007,7,11,control,0.104961
2007,7,11,irrigated,0.163141
2007,7,12,control,0.10325
2007,7,12,irrigated,0.156517
2007,7,13,control,0.114918
2007,7,13,irrigated,0.179267
2007,7,14,control,0.108402
2007,7,14,irrigated,0.166215
2007,7,15,control,0.105273
2007,7,15,irrigated,0.157007
2007,7,16,control,0.101847
2007,7,16,irrigated,0.299073
2007,7,17,control,0.098517
2007,7,17,irrigated,0.26084
2007,7,18,control,0.096609
2007,7,18,irrigated,0.231883
2007,7,19,control,0.093267
2007,7,19,irrigated,0.210615
2007,7,20,control,0.092588
2007,7,20,irrigated,0.325371
2007,7,21,control,0.091653
2007,7,21,irrigated,0.285841
2007,7,22,control,0.090252
2007,7,22,irrigated,0.268673
2007,7,23,control,0.216939
2007,7,23,irrigated,0.293547
2007,7,24,control,0.20878
2007,7,24,irrigated,0.281894
2007,7,25,control,0.196987
2007,7,25,irrigated,0.268407
2007,7,26,control,0.181079
2007,7,26,irrigated,0.246777
2007,7,27,control,0.168539
2007,7,27,irrigated,0.227609
2007,7,28,control,0.202712
2007,7,28,irrigated,0.294561
2007,7,29,control,0.194079
2007,7,29,irrigated,0.277927
2007,7,30,control,0.195694
2007,7,30,irrigated,0.278933
2007,7,31,control,0.219913
2007,7,31,irrigated,0.304079
2007,8,1,control,0.2218
2007,8,1,irrigated,0.295049
2007,8,2,control,0.209097
2007,8,2,irrigated,0.281215
2007,8,3,control,0.206519
2007,8,3,irrigated,0.322107
2007,8,4,control,0.206065
2007,8,4,irrigated,0.307331
2007,8,5,control,0.187448
2007,8,5,irrigated,0.284266
2007,8,6,control,0.173743
2007,8,6,irrigated,0.266803
2007,8,7,control,0.157888
2007,8,7,irrigated,0.241482
2007,8,8,control,0.146702
2007,8,8,irrigated,0.221084
2007,8,9,control,0.136686
2007,8,9,irrigated,0.291802
2007,8,10,control,0.127204
2007,8,10,irrigated,0.304143
2007,8,11,control,0.117426
2007,8,11,irrigated,0.273693
2007,8,12,control,0.110155
2007,8,12,irrigated,0.247135
2007,8,13,control,0.103766
2007,8,13,irrigated,0.306895
2007,8,14,control,0.097621
2007,8,14,irrigated,0.306725
2007,8,15,control,0.092676
2007,8,15,irrigated,0.27105
2007,8,16,control,0.089077
2007,8,16,irrigated,0.317543
2007,8,17,control,0.086519
2007,8,17,irrigated,0.317727
2007,8,18,control,0.084257
2007,8,18,irrigated,0.295331
2007,8,19,control,0.082884
2007,8,19,irrigated,0.277355
2007,8,20,control,0.08353
2007,8,20,irrigated,0.26209
2007,8,21,control,0.091573
2007,8,21,irrigated,0.294408
2007,8,22,control,0.085113
2007,8,22,irrigated,0.265443
2007,8,23,control,0.08682
2007,8,23,irrigated,0.255998
2007,8,24,control,0.180787
2007,8,24,irrigated,0.321901
2007,8,25,control,0.186625
2007,8,25,irrigated,0.301985
2007,8,26,control,0.175112
2007,8,26,irrigated,0.284411
2007,8,27,control,0.162291
2007,8,27,irrigated,0.26563
2007,8,28,control,0.147177
2007,8,28,irrigated,0.240903
2007,8,29,control,0.138386
2007,8,29,irrigated,0.225307
2007,8,30,control,0.132985
2007,8,30,irrigated,0.214468
