"Year","Month","Variable","Treatment","Value","Model"
2010,"Apr","maet","Control",44.417,"LPJGUESS"
2010,"Apr","mevap","Control",0.43,"LPJGUESS"
2010,"Apr","mgpp","Control",0.095,"LPJGUESS"
2010,"Apr","mlai","Control",5.004,"LPJGUESS"
2010,"Apr","mnee","Control",-0.015,"LPJGUESS"
2010,"Apr","mnpp","Control",0.063,"LPJGUESS"
2010,"Apr","mra","Control",0.032,"LPJGUESS"
2010,"Apr","mrh","Control",0.048,"LPJGUESS"
2010,"Apr","mrunoff","Control",85.784,"LPJGUESS"
2010,"Apr","mwcont_lower","Control",0.992,"LPJGUESS"
2010,"Apr","mwcont_upper","Control",0.884,"LPJGUESS"
2010,"Aug","maet","Control",41.499,"LPJGUESS"
2010,"Aug","mevap","Control",1.094,"LPJGUESS"
2010,"Aug","mgpp","Control",0.063,"LPJGUESS"
2010,"Aug","mlai","Control",2.767,"LPJGUESS"
2010,"Aug","mnee","Control",0.003,"LPJGUESS"
2010,"Aug","mnpp","Control",0.036,"LPJGUESS"
2010,"Aug","mra","Control",0.028,"LPJGUESS"
2010,"Aug","mrh","Control",0.039,"LPJGUESS"
2010,"Aug","mrunoff","Control",3.625,"LPJGUESS"
2010,"Aug","mwcont_lower","Control",0.988,"LPJGUESS"
2010,"Aug","mwcont_upper","Control",0.124,"LPJGUESS"
2010,"Dec","maet","Control",0.46,"LPJGUESS"
2010,"Dec","mevap","Control",9.619,"LPJGUESS"
2010,"Dec","mgpp","Control",0,"LPJGUESS"
2010,"Dec","mlai","Control",0.818,"LPJGUESS"
2010,"Dec","mnee","Control",0.013,"LPJGUESS"
2010,"Dec","mnpp","Control",-0.001,"LPJGUESS"
2010,"Dec","mra","Control",0.001,"LPJGUESS"
2010,"Dec","mrh","Control",0.013,"LPJGUESS"
2010,"Dec","mrunoff","Control",0,"LPJGUESS"
2010,"Dec","mwcont_lower","Control",0.992,"LPJGUESS"
2010,"Dec","mwcont_upper","Control",0.922,"LPJGUESS"
2010,"Feb","maet","Control",0,"LPJGUESS"
2010,"Feb","mevap","Control",0,"LPJGUESS"
2010,"Feb","mgpp","Control",0,"LPJGUESS"
2010,"Feb","mlai","Control",0,"LPJGUESS"
2010,"Feb","mnee","Control",0.01,"LPJGUESS"
2010,"Feb","mnpp","Control",0,"LPJGUESS"
2010,"Feb","mra","Control",0,"LPJGUESS"
2010,"Feb","mrh","Control",0.01,"LPJGUESS"
2010,"Feb","mrunoff","Control",12.673,"LPJGUESS"
2010,"Feb","mwcont_lower","Control",0.992,"LPJGUESS"
2010,"Feb","mwcont_upper","Control",0.947,"LPJGUESS"
2010,"Jan","maet","Control",0,"LPJGUESS"
2010,"Jan","mevap","Control",0,"LPJGUESS"
2010,"Jan","mgpp","Control",0,"LPJGUESS"
2010,"Jan","mlai","Control",0,"LPJGUESS"
2010,"Jan","mnee","Control",0.009,"LPJGUESS"
2010,"Jan","mnpp","Control",0,"LPJGUESS"
2010,"Jan","mra","Control",0,"LPJGUESS"
2010,"Jan","mrh","Control",0.009,"LPJGUESS"
2010,"Jan","mrunoff","Control",0,"LPJGUESS"
2010,"Jan","mwcont_lower","Control",0.992,"LPJGUESS"
2010,"Jan","mwcont_upper","Control",0.947,"LPJGUESS"
2010,"Jul","maet","Control",96.121,"LPJGUESS"
2010,"Jul","mevap","Control",0.389,"LPJGUESS"
2010,"Jul","mgpp","Control",0.187,"LPJGUESS"
2010,"Jul","mlai","Control",5.072,"LPJGUESS"
2010,"Jul","mnee","Control",-0.034,"LPJGUESS"
2010,"Jul","mnpp","Control",0.121,"LPJGUESS"
2010,"Jul","mra","Control",0.066,"LPJGUESS"
2010,"Jul","mrh","Control",0.087,"LPJGUESS"
2010,"Jul","mrunoff","Control",137.162,"LPJGUESS"
2010,"Jul","mwcont_lower","Control",0.991,"LPJGUESS"
2010,"Jul","mwcont_upper","Control",0.707,"LPJGUESS"
2010,"Jun","maet","Control",91.146,"LPJGUESS"
2010,"Jun","mevap","Control",0.392,"LPJGUESS"
2010,"Jun","mgpp","Control",0.188,"LPJGUESS"
2010,"Jun","mlai","Control",5.072,"LPJGUESS"
2010,"Jun","mnee","Control",-0.047,"LPJGUESS"
2010,"Jun","mnpp","Control",0.125,"LPJGUESS"
2010,"Jun","mra","Control",0.062,"LPJGUESS"
2010,"Jun","mrh","Control",0.078,"LPJGUESS"
2010,"Jun","mrunoff","Control",62.063,"LPJGUESS"
2010,"Jun","mwcont_lower","Control",0.99,"LPJGUESS"
2010,"Jun","mwcont_upper","Control",0.73,"LPJGUESS"
2010,"Mar","maet","Control",3.061,"LPJGUESS"
2010,"Mar","mevap","Control",25.817,"LPJGUESS"
2010,"Mar","mgpp","Control",0.004,"LPJGUESS"
2010,"Mar","mlai","Control",0.949,"LPJGUESS"
2010,"Mar","mnee","Control",0.022,"LPJGUESS"
2010,"Mar","mnpp","Control",0.002,"LPJGUESS"
2010,"Mar","mra","Control",0.002,"LPJGUESS"
2010,"Mar","mrh","Control",0.024,"LPJGUESS"
2010,"Mar","mrunoff","Control",60.392,"LPJGUESS"
2010,"Mar","mwcont_lower","Control",0.992,"LPJGUESS"
2010,"Mar","mwcont_upper","Control",0.93,"LPJGUESS"
2010,"May","maet","Control",72.862,"LPJGUESS"
2010,"May","mevap","Control",0.304,"LPJGUESS"
2010,"May","mgpp","Control",0.156,"LPJGUESS"
2010,"May","mlai","Control",5.072,"LPJGUESS"
2010,"May","mnee","Control",-0.049,"LPJGUESS"
2010,"May","mnpp","Control",0.106,"LPJGUESS"
2010,"May","mra","Control",0.05,"LPJGUESS"
2010,"May","mrh","Control",0.057,"LPJGUESS"
2010,"May","mrunoff","Control",17.541,"LPJGUESS"
2010,"May","mwcont_lower","Control",0.992,"LPJGUESS"
2010,"May","mwcont_upper","Control",0.754,"LPJGUESS"
2010,"Nov","maet","Control",4.331,"LPJGUESS"
2010,"Nov","mevap","Control",0.066,"LPJGUESS"
2010,"Nov","mgpp","Control",0.001,"LPJGUESS"
2010,"Nov","mlai","Control",5.072,"LPJGUESS"
2010,"Nov","mnee","Control",0.029,"LPJGUESS"
