"Lon","Lat","Year","ANGE","PAVI","Total","Treatment","Model"
-96.61,39.11,0,0,0,0,"Control","LPJGUESS"
-96.61,39.11,1,183.809533,277.142871,460.952404,"Control","LPJGUESS"
-96.61,39.11,2,119.047625,337.142874,456.190499,"Control","LPJGUESS"
-96.61,39.11,3,44.761907,343.809541,388.571448,"Control","LPJGUESS"
-96.61,39.11,4,0,521.904788,521.904788,"Control","LPJGUESS"
-96.61,39.11,5,2.857143,470.476214,474.285738,"Control","LPJGUESS"
-96.61,39.11,6,2.857143,515.238121,518.095264,"Control","LPJGUESS"
-96.61,39.11,7,3.809524,468.571452,472.380976,"Control","LPJGUESS"
-96.61,39.11,8,2.857143,460.952404,463.809547,"Control","LPJGUESS"
-96.61,39.11,9,2.857143,441.904784,444.761927,"Control","LPJGUESS"
-96.61,39.11,10,2.857143,520.000026,522.857169,"Control","LPJGUESS"
-96.61,39.11,11,3.809524,387.619067,391.428591,"Control","LPJGUESS"
-96.61,39.11,12,7.619048,464.761928,472.380976,"Control","LPJGUESS"
-96.61,39.11,13,6.666667,397.142877,403.809544,"Control","LPJGUESS"
-96.61,39.11,14,9.52381,478.095262,487.619072,"Control","LPJGUESS"
-96.61,39.11,15,13.333334,379.047638,392.380972,"Control","LPJGUESS"
-96.61,39.11,16,14.285715,403.809544,417.142878,"Control","LPJGUESS"
-96.61,39.11,17,17.142858,480.000024,497.142882,"Control","LPJGUESS"
-96.61,39.11,18,22.857144,633.333365,656.190509,"Control","LPJGUESS"
-96.61,39.11,19,15.238096,424.761926,440.000022,"Control","LPJGUESS"
-96.61,39.11,20,11.428572,434.285736,445.714308,"Control","LPJGUESS"
-96.61,39.11,21,11.428572,458.095261,470.476214,"Control","LPJGUESS"
-96.61,39.11,22,18.095239,592.380982,610.476221,"Control","LPJGUESS"
-96.61,39.11,23,16.190477,346.666684,362.857161,"Control","LPJGUESS"
-96.61,39.11,24,19.04762,449.523832,467.619071,"Control","LPJGUESS"
-96.61,39.11,25,17.142858,469.523833,487.619072,"Control","LPJGUESS"
-96.61,39.11,26,15.238096,492.380977,507.619073,"Control","LPJGUESS"
-96.61,39.11,27,12.380953,453.333356,465.714309,"Control","LPJGUESS"
-96.61,39.11,28,13.333334,458.095261,471.428595,"Control","LPJGUESS"
-96.61,39.11,29,14.285715,546.666694,561.90479,"Control","LPJGUESS"
-96.61,39.11,30,11.428572,438.09526,449.523832,"Control","LPJGUESS"
-96.61,39.11,31,14.285715,483.809548,499.047644,"Control","LPJGUESS"
-96.61,39.11,32,23.809525,523.80955,547.619075,"Control","LPJGUESS"
-96.61,39.11,33,51.428574,402.857163,454.285737,"Control","LPJGUESS"
-96.61,39.11,34,63.809527,466.66669,530.476217,"Control","LPJGUESS"
-96.61,39.11,35,55.238098,426.666688,481.904786,"Control","LPJGUESS"
-96.61,39.11,36,67.619051,597.142887,664.761938,"Control","LPJGUESS"
-96.61,39.11,37,28.57143,360.952399,390.47621,"Control","LPJGUESS"
-96.61,39.11,38,29.523811,508.571454,538.095265,"Control","LPJGUESS"
-96.61,39.11,39,20.952382,475.238119,496.190501,"Control","LPJGUESS"
-96.61,39.11,40,12.380953,491.428596,503.809549,"Control","LPJGUESS"
-96.61,39.11,41,12.380953,473.333357,485.71431,"Control","LPJGUESS"
-96.61,39.11,42,9.52381,423.809545,433.333355,"Control","LPJGUESS"
-96.61,39.11,43,11.428572,607.619078,620.000031,"Control","LPJGUESS"
-96.61,39.11,44,32.380954,443.809546,476.1905,"Control","LPJGUESS"
-96.61,39.11,45,35.238097,403.809544,439.047641,"Control","LPJGUESS"
-96.61,39.11,46,46.666669,550.476218,597.142887,"Control","LPJGUESS"
-96.61,39.11,47,36.190478,393.333353,429.523831,"Control","LPJGUESS"
-96.61,39.11,48,38.09524,545.714313,583.809553,"Control","LPJGUESS"
-96.61,39.11,49,39.047621,570.476219,609.52384,"Control","LPJGUESS"
-96.61,39.11,50,28.57143,427.619069,457.14288,"Control","LPJGUESS"
-96.61,39.11,51,30.476192,478.095262,508.571454,"Control","LPJGUESS"
-96.61,39.11,52,26.666668,534.285741,561.90479,"Control","LPJGUESS"
-96.61,39.11,53,30.476192,637.142889,667.619081,"Control","LPJGUESS"
-96.61,39.11,54,26.666668,365.714304,391.428591,"Control","LPJGUESS"
-96.61,39.11,55,31.428573,610.476221,640.952413,"Control","LPJGUESS"
-96.61,39.11,56,20.952382,409.52383,430.476212,"Control","LPJGUESS"
-96.61,39.11,57,15.238096,410.476211,426.666688,"Control","LPJGUESS"
-96.61,39.11,58,15.238096,470.476214,485.71431,"Control","LPJGUESS"
-96.61,39.11,59,20.952382,575.238124,595.238125,"Control","LPJGUESS"
-96.61,39.11,60,20.952382,354.285732,376.190495,"Control","LPJGUESS"
-96.61,39.11,61,17.142858,466.66669,484.761929,"Control","LPJGUESS"
-96.61,39.11,62,12.380953,438.09526,449.523832,"Control","LPJGUESS"
-96.61,39.11,63,10.476191,431.428593,441.904784,"Control","LPJGUESS"
-96.61,39.11,64,8.571429,450.476213,458.095261,"Control","LPJGUESS"
-96.61,39.11,65,7.619048,420.952402,429.523831,"Control","LPJGUESS"
-96.61,39.11,66,10.476191,395.238115,405.714306,"Control","LPJGUESS"
-96.61,39.11,67,9.52381,428.57145,438.09526,"Control","LPJGUESS"
-96.61,39.11,68,10.476191,460.000023,470.476214,"Control","LPJGUESS"
-96.61,39.11,69,9.52381,380.9524,389.523829,"Control","LPJGUESS"
-96.61,39.11,70,9.52381,507.619073,517.142883,"Control","LPJGUESS"
-96.61,39.11,71,9.52381,489.523834,499.047644,"Control","LPJGUESS"
-96.61,39.11,72,8.571429,506.666692,515.238121,"Control","LPJGUESS"
-96.61,39.11,73,4.761905,478.095262,482.857167,"Control","LPJGUESS"
-96.61,39.11,74,4.761905,557.142885,561.90479,"Control","LPJGUESS"
-96.61,39.11,75,3.809524,449.523832,453.333356,"Control","LPJGUESS"
-96.61,39.11,76,6.666667,437.142879,443.809546,"Control","LPJGUESS"
-96.61,39.11,77,8.571429,429.523831,438.09526,"Control","LPJGUESS"
-96.61,39.11,78,12.380953,525.714312,538.095265,"Control","LPJGUESS"
-96.61,39.11,79,10.476191,419.04764,430.476212,"Control","LPJGUESS"
-96.61,39.11,80,20.000001,420.952402,440.952403,"Control","LPJGUESS"
-96.61,39.11,81,25.714287,412.380973,438.09526,"Control","LPJGUESS"
-96.61,39.11,82,28.57143,423.809545,452.380975,"Control","LPJGUESS"
-96.61,39.11,83,30.476192,476.1905,506.666692,"Control","LPJGUESS"
-96.61,39.11,84,31.428573,412.380973,443.809546,"Control","LPJGUESS"
-96.61,39.11,85,24.761906,462.857166,487.619072,"Control","LPJGUESS"
-96.61,39.11,86,13.333334,454.285737,467.619071,"Control","LPJGUESS"
-96.61,39.11,87,14.285715,491.428596,504.76193,"Control","LPJGUESS"
-96.61,39.11,88,9.52381,409.52383,419.04764,"Control","LPJGUESS"
-96.61,39.11,89,10.476191,476.1905,486.666691,"Control","LPJGUESS"
