"Year","Month","Variable","Treatment","Value","Model"
2010,"Apr","maet","Control",48.835,"LPJGUESS"
2010,"Apr","mevap","Control",0.112,"LPJGUESS"
2010,"Apr","mgpp","Control",0.09,"LPJGUESS"
2010,"Apr","mlai","Control",4.627,"LPJGUESS"
2010,"Apr","mnee","Control",-0.011,"LPJGUESS"
2010,"Apr","mnpp","Control",0.06,"LPJGUESS"
2010,"Apr","mra","Control",0.03,"LPJGUESS"
2010,"Apr","mrh","Control",0.049,"LPJGUESS"
2010,"Apr","mrunoff","Control",83.271,"LPJGUESS"
2010,"Apr","mwcont_lower","Control",0.991,"LPJGUESS"
2010,"Apr","mwcont_upper","Control",0.907,"LPJGUESS"
2010,"Aug","maet","Control",98.804,"LPJGUESS"
2010,"Aug","mevap","Control",0.028,"LPJGUESS"
2010,"Aug","mgpp","Control",0.158,"LPJGUESS"
2010,"Aug","mlai","Control",4.69,"LPJGUESS"
2010,"Aug","mnee","Control",-0.042,"LPJGUESS"
2010,"Aug","mnpp","Control",0.099,"LPJGUESS"
2010,"Aug","mra","Control",0.059,"LPJGUESS"
2010,"Aug","mrh","Control",0.057,"LPJGUESS"
2010,"Aug","mrunoff","Control",5.028,"LPJGUESS"
2010,"Aug","mwcont_lower","Control",0.963,"LPJGUESS"
2010,"Aug","mwcont_upper","Control",0.348,"LPJGUESS"
2010,"Dec","maet","Control",0,"LPJGUESS"
2010,"Dec","mevap","Control",9.666,"LPJGUESS"
2010,"Dec","mgpp","Control",0,"LPJGUESS"
2010,"Dec","mlai","Control",0,"LPJGUESS"
2010,"Dec","mnee","Control",0.012,"LPJGUESS"
2010,"Dec","mnpp","Control",0,"LPJGUESS"
2010,"Dec","mra","Control",0,"LPJGUESS"
2010,"Dec","mrh","Control",0.012,"LPJGUESS"
2010,"Dec","mrunoff","Control",0,"LPJGUESS"
2010,"Dec","mwcont_lower","Control",0.937,"LPJGUESS"
2010,"Dec","mwcont_upper","Control",0.821,"LPJGUESS"
2010,"Feb","maet","Control",0,"LPJGUESS"
2010,"Feb","mevap","Control",0,"LPJGUESS"
2010,"Feb","mgpp","Control",0,"LPJGUESS"
2010,"Feb","mlai","Control",0,"LPJGUESS"
2010,"Feb","mnee","Control",0.01,"LPJGUESS"
2010,"Feb","mnpp","Control",0,"LPJGUESS"
2010,"Feb","mra","Control",0,"LPJGUESS"
2010,"Feb","mrh","Control",0.01,"LPJGUESS"
2010,"Feb","mrunoff","Control",18.76,"LPJGUESS"
2010,"Feb","mwcont_lower","Control",0.992,"LPJGUESS"
2010,"Feb","mwcont_upper","Control",0.91,"LPJGUESS"
2010,"Jan","maet","Control",0,"LPJGUESS"
2010,"Jan","mevap","Control",0,"LPJGUESS"
2010,"Jan","mgpp","Control",0,"LPJGUESS"
2010,"Jan","mlai","Control",0,"LPJGUESS"
2010,"Jan","mnee","Control",0.009,"LPJGUESS"
2010,"Jan","mnpp","Control",0,"LPJGUESS"
2010,"Jan","mra","Control",0,"LPJGUESS"
2010,"Jan","mrh","Control",0.009,"LPJGUESS"
2010,"Jan","mrunoff","Control",0,"LPJGUESS"
2010,"Jan","mwcont_lower","Control",0.992,"LPJGUESS"
2010,"Jan","mwcont_upper","Control",0.909,"LPJGUESS"
2010,"Jul","maet","Control",108.975,"LPJGUESS"
2010,"Jul","mevap","Control",0.064,"LPJGUESS"
2010,"Jul","mgpp","Control",0.181,"LPJGUESS"
2010,"Jul","mlai","Control",4.69,"LPJGUESS"
2010,"Jul","mnee","Control",-0.033,"LPJGUESS"
2010,"Jul","mnpp","Control",0.117,"LPJGUESS"
2010,"Jul","mra","Control",0.064,"LPJGUESS"
2010,"Jul","mrh","Control",0.084,"LPJGUESS"
2010,"Jul","mrunoff","Control",51.222,"LPJGUESS"
2010,"Jul","mwcont_lower","Control",0.978,"LPJGUESS"
2010,"Jul","mwcont_upper","Control",0.637,"LPJGUESS"
2010,"Jun","maet","Control",102.88,"LPJGUESS"
2010,"Jun","mevap","Control",0.083,"LPJGUESS"
2010,"Jun","mgpp","Control",0.181,"LPJGUESS"
2010,"Jun","mlai","Control",4.69,"LPJGUESS"
2010,"Jun","mnee","Control",-0.041,"LPJGUESS"
2010,"Jun","mnpp","Control",0.121,"LPJGUESS"
2010,"Jun","mra","Control",0.06,"LPJGUESS"
2010,"Jun","mrh","Control",0.08,"LPJGUESS"
2010,"Jun","mrunoff","Control",69.679,"LPJGUESS"
2010,"Jun","mwcont_lower","Control",0.983,"LPJGUESS"
2010,"Jun","mwcont_upper","Control",0.751,"LPJGUESS"
2010,"Mar","maet","Control",3.119,"LPJGUESS"
2010,"Mar","mevap","Control",26.105,"LPJGUESS"
2010,"Mar","mgpp","Control",0.004,"LPJGUESS"
2010,"Mar","mlai","Control",0.878,"LPJGUESS"
2010,"Mar","mnee","Control",0.022,"LPJGUESS"
2010,"Mar","mnpp","Control",0.002,"LPJGUESS"
2010,"Mar","mra","Control",0.002,"LPJGUESS"
2010,"Mar","mrh","Control",0.024,"LPJGUESS"
2010,"Mar","mrunoff","Control",55.608,"LPJGUESS"
2010,"Mar","mwcont_lower","Control",0.992,"LPJGUESS"
2010,"Mar","mwcont_upper","Control",0.908,"LPJGUESS"
2010,"May","maet","Control",80.564,"LPJGUESS"
2010,"May","mevap","Control",0.06,"LPJGUESS"
2010,"May","mgpp","Control",0.149,"LPJGUESS"
2010,"May","mlai","Control",4.69,"LPJGUESS"
2010,"May","mnee","Control",-0.044,"LPJGUESS"
2010,"May","mnpp","Control",0.101,"LPJGUESS"
2010,"May","mra","Control",0.048,"LPJGUESS"
2010,"May","mrh","Control",0.056,"LPJGUESS"
2010,"May","mrunoff","Control",17.006,"LPJGUESS"
2010,"May","mwcont_lower","Control",0.989,"LPJGUESS"
2010,"May","mwcont_upper","Control",0.746,"LPJGUESS"
2010,"Nov","maet","Control",0,"LPJGUESS"
2010,"Nov","mevap","Control",17.769,"LPJGUESS"
2010,"Nov","mgpp","Control",0,"LPJGUESS"
2010,"Nov","mlai","Control",0,"LPJGUESS"
2010,"Nov","mnee","Control",0.025,"LPJGUESS"
2010,"Nov","mnpp","Control",0,"LPJGUESS"
2010,"Nov","mra","Control",0,"LPJGUESS"
2010,"Nov","mrh","Control",0.025,"LPJGUESS"
2010,"Nov","mrunoff","Control",15.483,"LPJGUESS"
2010,"Nov","mwcont_lower","Control",0.933,"LPJGUESS"
2010,"Nov","mwcont_upper","Control",0.839,"LPJGUESS"
2010,"Oct","maet","Control",22.144,"LPJGUESS"
2010,"Oct","mevap","Control",5.306,"LPJGUESS"
2010,"Oct","mgpp","Control",0.04,"LPJGUESS"
2010,"Oct","mlai","Control",3.329,"LPJGUESS"
2010,"Oct","mnee","Control",0.02,"LPJGUESS"
2010,"Oct","mnpp","Control",0.022,"LPJGUESS"
2010,"Oct","mra","Control",0.018,"LPJGUESS"
2010,"Oct","mrh","Control",0.042,"LPJGUESS"
2010,"Oct","mrunoff","Control",2.566,"LPJGUESS"
2010,"Oct","mwcont_lower","Control",0.926,"LPJGUESS"
2010,"Oct","mwcont_upper","Control",0.647,"LPJGUESS"
2010,"Sep","maet","Control",51.09,"LPJGUESS"
2010,"Sep","mevap","Control",0.029,"LPJGUESS"
2010,"Sep","mgpp","Control",0.094,"LPJGUESS"
2010,"Sep","mlai","Control",4.69,"LPJGUESS"
2010,"Sep","mnee","Control",-0.006,"LPJGUESS"
2010,"Sep","mnpp","Control",0.056,"LPJGUESS"
2010,"Sep","mra","Control",0.039,"LPJGUESS"
2010,"Sep","mrh","Control",0.049,"LPJGUESS"
2010,"Sep","mrunoff","Control",6.499,"LPJGUESS"
2010,"Sep","mwcont_lower","Control",0.932,"LPJGUESS"
2010,"Sep","mwcont_upper","Control",0.448,"LPJGUESS"
2011,"Apr","maet","Control",35.275,"LPJGUESS"
2011,"Apr","mevap","Control",0.87,"LPJGUESS"
2011,"Apr","mgpp","Control",0.058,"LPJGUESS"
2011,"Apr","mlai","Control",5.342,"LPJGUESS"
2011,"Apr","mnee","Control",0.004,"LPJGUESS"
2011,"Apr","mnpp","Control",0.036,"LPJGUESS"
2011,"Apr","mra","Control",0.022,"LPJGUESS"
2011,"Apr","mrh","Control",0.041,"LPJGUESS"
2011,"Apr","mrunoff","Control",25.548,"LPJGUESS"
2011,"Apr","mwcont_lower","Control",0.991,"LPJGUESS"
2011,"Apr","mwcont_upper","Control",0.811,"LPJGUESS"
2011,"Aug","maet","Control",93.353,"LPJGUESS"
2011,"Aug","mevap","Control",0,"LPJGUESS"
2011,"Aug","mgpp","Control",0.148,"LPJGUESS"
2011,"Aug","mlai","Control",5.481,"LPJGUESS"
2011,"Aug","mnee","Control",-0.036,"LPJGUESS"
2011,"Aug","mnpp","Control",0.089,"LPJGUESS"
2011,"Aug","mra","Control",0.059,"LPJGUESS"
2011,"Aug","mrh","Control",0.053,"LPJGUESS"
2011,"Aug","mrunoff","Control",11.188,"LPJGUESS"
2011,"Aug","mwcont_lower","Control",0.846,"LPJGUESS"
2011,"Aug","mwcont_upper","Control",0.239,"LPJGUESS"
2011,"Dec","maet","Control",0,"LPJGUESS"
2011,"Dec","mevap","Control",13.648,"LPJGUESS"
2011,"Dec","mgpp","Control",0,"LPJGUESS"
2011,"Dec","mlai","Control",0,"LPJGUESS"
2011,"Dec","mnee","Control",0.017,"LPJGUESS"
2011,"Dec","mnpp","Control",0,"LPJGUESS"
2011,"Dec","mra","Control",0,"LPJGUESS"
2011,"Dec","mrh","Control",0.017,"LPJGUESS"
2011,"Dec","mrunoff","Control",64.293,"LPJGUESS"
2011,"Dec","mwcont_lower","Control",0.861,"LPJGUESS"
2011,"Dec","mwcont_upper","Control",0.94,"LPJGUESS"
2011,"Feb","maet","Control",0,"LPJGUESS"
2011,"Feb","mevap","Control",1.575,"LPJGUESS"
2011,"Feb","mgpp","Control",0,"LPJGUESS"
2011,"Feb","mlai","Control",0,"LPJGUESS"
2011,"Feb","mnee","Control",0.01,"LPJGUESS"
2011,"Feb","mnpp","Control",0,"LPJGUESS"
2011,"Feb","mra","Control",0,"LPJGUESS"
2011,"Feb","mrh","Control",0.01,"LPJGUESS"
2011,"Feb","mrunoff","Control",15.52,"LPJGUESS"
2011,"Feb","mwcont_lower","Control",0.942,"LPJGUESS"
2011,"Feb","mwcont_upper","Control",0.787,"LPJGUESS"
2011,"Jan","maet","Control",0,"LPJGUESS"
2011,"Jan","mevap","Control",2.197,"LPJGUESS"
